concessionaria;ano_do_pnv_snv;rodovia_uf;municipio;sentido;km_m_inicial;latitude_inicial;longitude_inicial;km_m_final;latitude_final;longitude_final
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Betim;Crescente/Decrescente;481,901;-19,959007;-44,069325;506,4;-20,039118;-44,256533
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Camanducaia;Crescente/Decrescente;908,901;-22,685864;-46,102572;924,7;-22,770253;-46,19575
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Cambuí;Crescente/Decrescente;887,301;-22,519389;-46,022134;908,9;-22,685864;-46,102572
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Campanha;Crescente/Decrescente;761,451;-21,704261;-45,369685;783,75;-21,836371;-45,507142
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Betim;Crescente/Decrescente;0;-19,959249;-44,153744;7,4;-19,993329;-44,207884
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Careaçu;Crescente/Decrescente;808,151;-21,98665;-45,652743;827,14;-22,108592;-45,741583
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Carmo da Cachoeira;Crescente/Decrescente;710,371;-21,356189;-45,183921;736,45;-21,552263;-45,244597
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Carmópolis de Minas;Crescente/Decrescente;577,301;-20,465132;-44,577584;602,1;-20,610337;-44,735001
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Brumadinho;Crescente/Decrescente;520,901;-20,117748;-44,302702;529,8;-20,162374;-44,346589
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Contagem;Crescente/Decrescente;477,2;-19,957645;-44,029699;478,2;-19,961249;-44,037403
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Contagem;Crescente/Decrescente;478,201;-19,961249;-44,037403;481,9;-19,959007;-44,069325
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Estiva;Crescente/Decrescente;872,131;-22,406545;-45,96088;887,3;-22,519389;-46,022134
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Extrema;Crescente/Decrescente;931,301;-22,78769;-46,242426;949,9;-22,879699;-46,373263
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Igarapé;Crescente/Decrescente;510,901;-20,060577;-44,291346;520,9;-20,117748;-44,302702
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Itaguara;Crescente/Decrescente;550,101;-20,299968;-44,441244;577,3;-20,465132;-44,577584
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Itapeva;Crescente/Decrescente;924,701;-22,770253;-46,19575;931,3;-22,78769;-46,242426
